[21/12/2012 | 19:29:43] Troke Spawned a "BF Injection" (Model:424) Colours (122, 31), Pos: X:-1667.45, Y:1020.34, Z:7.92
[21/12/2012 | 19:29:48] Troke Spawned a "BF Injection" (Model:424) Colours (31, 63), Pos: X:-1668.25, Y:1025.16, Z:7.92
[21/12/2012 | 19:29:50] Troke Spawned a "BF Injection" (Model:424) Colours (95, 115), Pos: X:-1668.61, Y:1021.39, Z:7.92
[21/12/2012 | 19:29:57] Troke Spawned a "BF Injection" (Model:424) Colours (87, 78), Pos: X:-1668.61, Y:1021.39, Z:7.92
[21/12/2012 | 19:29:58] Troke Spawned a "BF Injection" (Model:424) Colours (24, 95), Pos: X:-1668.61, Y:1021.39, Z:7.92
[21/12/2012 | 19:29:59] Troke Spawned a "BF Injection" (Model:424) Colours (119, 101), Pos: X:-1668.61, Y:1021.39, Z:7.92
[21/12/2012 | 19:30:00] Troke Spawned a "BF Injection" (Model:424) Colours (0, 18), Pos: X:-1668.61, Y:1021.39, Z:7.92
[21/12/2012 | 19:30:00] Troke Spawned a "BF Injection" (Model:424) Colours (44, 67), Pos: X:-1668.61, Y:1021.39, Z:7.92
[21/12/2012 | 19:30:01] Troke Spawned a "BF Injection" (Model:424) Colours (99, 6), Pos: X:-1668.61, Y:1021.39, Z:7.92
[21/12/2012 | 19:30:01] Troke Spawned a "BF Injection" (Model:424) Colours (27, 113), Pos: X:-1668.61, Y:1021.39, Z:7.92
[21/12/2012 | 19:30:02] Troke Spawned a "BF Injection" (Model:424) Colours (93, 124), Pos: X:-1668.61, Y:1021.39, Z:7.92
[21/12/2012 | 19:30:02] Troke Spawned a "BF Injection" (Model:424) Colours (62, 41), Pos: X:-1668.61, Y:1021.39, Z:7.92
[21/12/2012 | 19:30:03] Troke Spawned a "BF Injection" (Model:424) Colours (116, 77), Pos: X:-1668.61, Y:1021.39, Z:7.92
[21/12/2012 | 19:30:03] Troke Spawned a "BF Injection" (Model:424) Colours (106, 107), Pos: X:-1668.61, Y:1021.39, Z:7.92
[21/12/2012 | 19:30:04] Troke Spawned a "BF Injection" (Model:424) Colours (34, 50), Pos: X:-1668.61, Y:1021.39, Z:7.92
[21/12/2012 | 19:30:05] Troke Spawned a "BF Injection" (Model:424) Colours (31, 0), Pos: X:-1668.65, Y:1021.38, Z:7.92
[21/12/2012 | 19:30:05] Troke Spawned a "BF Injection" (Model:424) Colours (13, 36), Pos: X:-1668.65, Y:1021.38, Z:7.92
[21/12/2012 | 19:30:06] Troke Spawned a "BF Injection" (Model:424) Colours (17, 14), Pos: X:-1668.65, Y:1021.38, Z:7.92
[21/12/2012 | 19:30:06] Troke Spawned a "BF Injection" (Model:424) Colours (7, 61), Pos: X:-1668.65, Y:1021.38, Z:7.92
[21/12/2012 | 19:30:07] Troke Spawned a "BF Injection" (Model:424) Colours (94, 30), Pos: X:-1668.80, Y:1021.24, Z:7.92
[21/12/2012 | 19:30:08] Troke Spawned a "BF Injection" (Model:424) Colours (104, 79), Pos: X:-1669.43, Y:1021.43, Z:7.92
[21/12/2012 | 19:30:08] Troke Spawned a "BF Injection" (Model:424) Colours (42, 58), Pos: X:-1669.57, Y:1021.47, Z:7.92
[21/12/2012 | 19:30:09] Troke Spawned a "BF Injection" (Model:424) Colours (10, 63), Pos: X:-1669.57, Y:1021.47, Z:7.92
[22/12/2012 | 15:27:33] Troke Spawned a "Elegy" (Model:562) Colours (65, 75), Pos: X:-294.84, Y:1521.44, Z:75.35
[22/12/2012 | 17:11:39] Troke Spawned a "BF Injection" (Model:424) Colours (115, 112), Pos: X:410.27, Y:-1545.12, Z:32.26
[22/12/2012 | 17:14:03] Troke Spawned a "NRG-500" (Model:522) Colours (1, 66), Pos: X:1220.49, Y:-1417.79, Z:13.22
[22/12/2012 | 17:24:39] Troke Spawned a "BF-400" (Model:581) Colours (4, 51), Pos: X:546.51, Y:-1589.19, Z:16.00
[22/12/2012 | 17:24:56] Troke Spawned a "FCR-900" (Model:521) Colours (3, 94), Pos: X:547.19, Y:-1587.89, Z:16.00
[22/12/2012 | 17:26:01] Troke Spawned a "FCR-900" (Model:521) Colours (66, 105), Pos: X:542.01, Y:-1586.91, Z:16.00
[24/12/2012 | 09:12:10] Troke Spawned a "Perrenial" (Model:404) Colours (48, 100), Pos: X:-2254.32, Y:-1719.00, Z:482.73
[24/12/2012 | 09:12:50] Troke Spawned a "Trailer 1" (Model:435) Colours (38, 53), Pos: X:-2238.65, Y:-1729.60, Z:480.48
[24/12/2012 | 09:12:55] Troke Spawned a "Trailer 1" (Model:435) Colours (124, 10), Pos: X:-2248.71, Y:-1721.51, Z:480.16
[24/12/2012 | 09:12:59] Troke Spawned a "Trailer 1" (Model:435) Colours (19, 35), Pos: X:-2249.04, Y:-1721.37, Z:480.14
[24/12/2012 | 09:15:22] Troke Spawned a "Mesa" (Model:500) Colours (72, 94), Pos: X:-2278.43, Y:-908.57, Z:5.33
[24/12/2012 | 09:15:27] Troke Spawned a "Mesa" (Model:500) Colours (90, 111), Pos: X:-2283.27, Y:-922.01, Z:1.44
