[10/02/2013 | 15:52:13] CreateObject(1348, -2429.41, -1599.35, 561.29, 0.00, 0.00, 74.78);
[10/02/2013 | 15:52:20] CreateObject(1348, -2432.04, -1598.64, 563.00, 0.00, 0.00, 74.78);
[10/02/2013 | 15:52:24] CreateObject(1348, -2434.68, -1597.92, 564.71, 0.00, 0.00, 74.78);
[10/02/2013 | 15:52:28] CreateObject(1348, -2437.31, -1597.21, 566.42, 0.00, 0.00, 74.78);
[10/02/2013 | 15:52:35] CreateObject(1348, -2439.94, -1596.49, 568.13, 0.00, 0.00, 74.78);
[10/02/2013 | 15:52:40] CreateObject(1348, -2442.57, -1595.78, 569.84, 0.00, 0.00, 74.78);
[10/02/2013 | 15:52:43] CreateObject(1348, -2445.21, -1595.06, 571.55, 0.00, 0.00, 74.78);
[10/02/2013 | 15:52:46] CreateObject(1348, -2447.84, -1594.35, 573.26, 0.00, 0.00, 74.78);
[10/02/2013 | 15:56:21] CreateObject(1348, -2442.36, -1595.75, 573.26, 0.00, 0.00, 256.87);
[10/02/2013 | 15:56:44] CreateObject(1348, -2450.57, -1594.01, 574.97, 0.00, 0.00, 74.78);
[10/02/2013 | 15:56:47] CreateObject(1348, -2453.21, -1593.29, 576.68, 0.00, 0.00, 74.78);
[10/02/2013 | 15:56:49] CreateObject(1348, -2455.84, -1592.58, 578.40, 0.00, 0.00, 74.78);
[10/02/2013 | 15:56:55] CreateObject(1348, -2458.47, -1591.86, 580.11, 0.00, 0.00, 74.78);
[10/02/2013 | 15:56:59] CreateObject(1348, -2461.10, -1591.15, 581.82, 0.00, 0.00, 74.78);
[10/02/2013 | 15:57:06] CreateObject(1348, -2463.74, -1590.43, 583.53, 0.00, 0.00, 74.78);
[10/02/2013 | 15:57:57] CreateObject(1348, -2439.70, -1596.37, 574.97, 0.00, 0.00, 256.87);
[10/02/2013 | 15:58:23] CreateObject(1348, -2466.38, -1589.76, 585.24, 0.00, 0.00, 74.78);
[10/02/2013 | 15:58:26] CreateObject(1348, -2469.01, -1589.04, 586.95, 0.00, 0.00, 74.78);
[10/02/2013 | 15:58:29] CreateObject(1348, -2471.64, -1588.32, 588.66, 0.00, 0.00, 74.78);
[10/02/2013 | 15:58:31] CreateObject(1348, -2473.75, -1587.75, 589.37, 0.00, 0.00, 74.78);
[10/02/2013 | 15:59:14] CreateObject(1348, -2477.06, -1586.82, 591.08, 0.00, 0.00, 70.43);
[10/02/2013 | 15:59:22] CreateObject(1348, -2479.63, -1585.91, 592.79, 0.00, 0.00, 70.43);
[10/02/2013 | 15:59:25] CreateObject(1348, -2482.20, -1585.00, 594.50, 0.00, 0.00, 70.43);
[10/02/2013 | 15:59:36] CreateObject(1348, -2484.77, -1584.08, 596.21, 0.00, 0.00, 70.43);
[10/02/2013 | 15:59:49] CreateObject(1348, -2482.14, -1584.89, 597.92, 0.00, 0.00, 257.58);
[10/02/2013 | 15:59:58] CreateObject(1348, -2487.78, -1583.50, 597.92, 0.00, 0.00, 79.75);
[10/02/2013 | 16:00:03] CreateObject(1348, -2495.32, -1582.14, 598.68, 0.00, 0.00, 79.75);
[10/02/2013 | 16:01:28] CreateObject(1348, -2490.50, -1582.37, 599.63, 0.00, 0.00, 71.31);
[10/02/2013 | 16:01:37] CreateObject(1348, -2493.08, -1581.50, 601.34, 0.00, 0.00, 71.31);
[10/02/2013 | 16:01:43] CreateObject(1348, -2495.67, -1580.62, 603.05, 0.00, 0.00, 71.31);
[10/02/2013 | 16:01:46] CreateObject(1348, -2498.25, -1579.75, 604.76, 0.00, 0.00, 71.31);
[10/02/2013 | 16:01:58] CreateObject(1348, -2500.84, -1578.88, 606.47, 0.00, 0.00, 71.31);
[10/02/2013 | 16:02:02] CreateObject(1348, -2503.47, -1578.14, 608.18, 0.00, 0.00, 71.31);
[10/02/2013 | 16:02:10] CreateObject(1348, -2506.52, -1577.38, 609.90, 0.00, 0.00, 75.58);
[10/02/2013 | 16:02:14] CreateObject(1348, -2509.16, -1576.70, 611.61, 0.00, 0.00, 75.58);
[10/02/2013 | 16:03:20] CreateObject(1348, -2512.03, -1575.79, 613.32, 0.00, 0.00, 71.23);
[10/02/2013 | 16:03:24] CreateObject(1348, -2514.61, -1574.91, 615.03, 0.00, 0.00, 71.23);
[10/02/2013 | 16:03:29] CreateObject(1345, -2517.19, -1574.04, 616.74, 0.00, 0.00, 71.23);
[10/02/2013 | 16:03:43] CreateObject(1345, -2337.40, -1625.93, 483.70, 0.00, 0.00, 348.84);
[10/02/2013 | 16:03:48] CreateObject(1342, -2329.60, -1632.95, 483.70, 0.00, 0.00, 226.33);
[10/02/2013 | 16:04:03] CreateObject(1341, -2347.59, -1623.93, 483.66, 0.00, 0.00, 131.15);
[15/02/2013 | 13:10:32] CreateObject(0, 357.33, -1283.00, 53.70, 0.00, 0.00, 235.16);
[15/02/2013 | 13:10:43] CreateObject(2, 356.93, -1283.45, 53.70, 0.00, 0.00, 223.62);
[15/02/2013 | 13:12:08] CreateObject(1, 285.45, -1349.62, 53.43, 0.00, 0.00, 132.78);
[15/02/2013 | 13:29:22] CreateObject(12273, -2217.67, 2331.90, 7.54, 0.00, 0.00, 265.94);
[15/02/2013 | 13:30:02] CreateObject(12273, 1974.93, 715.15, 10.82, 0.00, 0.00, 90.81);
[15/02/2013 | 13:30:08] CreateObject(12273, 1976.00, 715.08, 10.82, 0.00, 0.00, 87.99);
[15/02/2013 | 13:30:20] CreateObject(12273, 2000.74, 660.15, 10.82, 0.00, 0.00, 216.43);
[15/02/2013 | 13:30:28] CreateObject(12273, 1976.85, 666.73, 10.82, 0.00, 0.00, 63.24);
[15/02/2013 | 13:30:46] CreateObject(1274, 1991.39, 665.55, 10.76, 0.00, 0.00, 219.88);
[15/02/2013 | 13:30:58] CreateObject(1274, 2014.18, 650.27, 11.46, 0.00, 0.00, 214.84);
[15/02/2013 | 13:39:13] CreateObject(18259, -145.98, 1584.81, 18.63, 0.00, 0.00, 338.03);
[15/02/2013 | 13:48:11] CreateObject(3609, 1543.68, -2322.29, 13.55, 0.00, 0.00, 96.00);
[15/02/2013 | 13:53:20] CreateObject(4609, 165.54, -1631.50, 13.84, 0.00, 0.00, 291.92);
[15/02/2013 | 13:53:24] CreateObject(3609, 165.54, -1631.50, 13.84, 0.00, 0.00, 291.92);
[15/02/2013 | 13:54:54] CreateObject(39, 177.57, -1745.06, 10.29, 0.00, 0.00, 159.29);
[15/02/2013 | 13:54:57] CreateObject(39, 173.31, -1743.64, 4.29, 0.00, 0.00, 69.29);
[15/02/2013 | 13:55:14] CreateObject(339, 175.39, -1740.53, 4.29, 0.00, 0.00, 8.84);
[15/02/2013 | 13:56:27] CreateObject(3804, 412.30, -1241.98, 51.23, 0.00, 0.00, 89.73);
[15/02/2013 | 13:57:04] CreateObject(3804, 396.36, -1275.42, 54.41, 0.00, 0.00, 211.59);
[15/02/2013 | 13:57:08] CreateObject(3804, 399.76, -1272.04, 54.41, 0.00, 0.00, 329.02);
[15/02/2013 | 14:06:21] CreateObject(229, 247.93, -1775.23, 4.17, 0.00, 0.00, 358.19);
[16/02/2013 | 15:01:35] CreateObject(18259, 1388.66, 1238.61, 10.82, 0.00, 0.00, 331.89);
