[18/02/2013 | 18:46:00] (Created) Tele: MADCPIER69, Pos: X: -1704.701660,Y: 1338.855346,Z: 7.180032,Ang:315.725463,Interior:0
[03/07/2013 | 17:00:56] (Created) Tele: Spawnls1, Pos: X: 1954.795776,Y: -1371.868286,Z: 19.648437,Ang:90.126296,Interior:0
[03/07/2013 | 17:01:36] (Created) Tele: Spawnls2, Pos: X: 1786.810424,Y: -1298.888427,Z: 13.375000,Ang:11.056863,Interior:0
[03/07/2013 | 17:02:48] (Created) Tele: Spawnls3, Pos: X: 2240.143310,Y: -1078.433837,Z: 41.610656,Ang:127.735824,Interior:0
[03/07/2013 | 17:05:13] (Created) Tele: Spawnls4, Pos: X: 1479.695678,Y: -1620.305053,Z: 14.039297,Ang:180.841171,Interior:0
[03/07/2013 | 17:05:52] (Created) Tele: Spawnls5, Pos: X: 1722.478515,Y: -1629.355957,Z: 20.213642,Ang:3.726990,Interior:0
[03/07/2013 | 17:07:21] (Created) Tele: Spawnls6, Pos: X: 1757.254028,Y: -1961.366943,Z: 14.117187,Ang:333.107849,Interior:0
[03/07/2013 | 17:11:29] (Created) Tele: Spawnls7, Pos: X: 1232.031005,Y: -2037.606933,Z: 61.868083,Ang:274.482879,Interior:0
[03/07/2013 | 17:13:49] (Created) Tele: Spawnls8, Pos: X: 380.015991,Y: -2059.030273,Z: 10.721952,Ang:6.538700,Interior:0
[03/07/2013 | 17:14:36] (Created) Tele: Spawnls9, Pos: X: 343.018585,Y: -1795.867187,Z: 4.823723,Ang:351.715911,Interior:0
[03/07/2013 | 17:15:39] (Created) Tele: Spawnls10, Pos: X: 405.995361,Y: -1539.071655,Z: 32.273437,Ang:224.998138,Interior:0
[03/07/2013 | 17:27:08] (Created) Tele: PickupBank, Pos: X: 595.800048,Y: -1251.503295,Z: 18.324462,Ang:194.824645,Interior:0
[03/07/2013 | 17:29:20] (Created) Tele: PickupVGPD, Pos: X: 1555.479614,Y: -1675.596435,Z: 16.195312,Ang:271.270904,Interior:0
[03/07/2013 | 17:32:00] (Created) Tele: PickupFBI, Pos: X: 1797.460815,Y: -1579.018554,Z: 14.086112,Ang:90.120491,Interior:0
[03/07/2013 | 18:08:32] (Created) Tele: bankgetout, Pos: X: 594.151428,Y: -1245.515747,Z: 18.105913,Ang:24.339626,Interior:0
[03/07/2013 | 18:09:09] (Created) Tele: getoutvgpd, Pos: X: 1553.169921,Y: -1675.708618,Z: 16.195312,Ang:86.211784,Interior:0
[03/07/2013 | 18:09:57] (Created) Tele: pickupvgpdgarasi, Pos: X: 1568.553588,Y: -1689.970214,Z: 6.218750,Ang:0.333964,Interior:0
[03/07/2013 | 18:10:16] (Created) Tele: getoutvgpdgarasi, Pos: X: 1568.592773,Y: -1692.303833,Z: 5.890625,Ang:182.840911,Interior:0
[03/07/2013 | 18:10:54] (Created) Tele: getoutfbi, Pos: X: 1799.729492,Y: -1577.203735,Z: 14.062500,Ang:300.486968,Interior:0
[03/07/2013 | 18:12:14] (Created) Tele: pickupfbigarasi, Pos: X: 1654.043457,Y: -1654.768188,Z: 22.515625,Ang:359.057464,Interior:0
[03/07/2013 | 18:12:44] (Created) Tele: getoutfbigarasi, Pos: X: 1654.941772,Y: -1657.989746,Z: 22.515625,Ang:182.335830,Interior:0
[03/07/2013 | 19:17:10] (Deleted) Tele: CAMHEIGHT
[03/07/2013 | 19:17:19] (Deleted) Tele: ASEAEAWEA
[03/07/2013 | 19:17:24] (Deleted) Tele: KAMPUNG
[03/07/2013 | 19:17:29] (Deleted) Tele: PERUMAHAN
[03/07/2013 | 19:17:33] (Deleted) Tele: ICON1
[03/07/2013 | 19:17:37] (Deleted) Tele: ICON2
[03/07/2013 | 19:17:42] (Deleted) Tele: ICONCIA2
[03/07/2013 | 19:17:50] (Deleted) Tele: ICONCIA
[03/07/2013 | 19:17:58] (Deleted) Tele: SPAWN GETDSPD
[03/07/2013 | 19:18:06] (Deleted) Tele: SPAWN GET2
[03/07/2013 | 19:18:12] (Deleted) Tele: GETOUT CIA
[03/07/2013 | 19:18:17] (Deleted) Tele: GETIN CIA
[03/07/2013 | 19:18:22] (Deleted) Tele: MAULANA
[03/07/2013 | 19:18:31] (Deleted) Tele: MADCbaseLVdown
[03/07/2013 | 19:18:38] (Deleted) Tele: MADCbaseLVup
[03/07/2013 | 19:18:42] (Deleted) Tele: MADCbase
[03/07/2013 | 19:18:50] (Deleted) Tele: MADCPIER69
[03/07/2013 | 19:18:54] (Deleted) Tele: Spawnls1
[03/07/2013 | 19:18:57] (Deleted) Tele: Spawnls2
[03/07/2013 | 19:19:02] (Deleted) Tele: Spawnls3
[03/07/2013 | 19:19:06] (Deleted) Tele: Spawnls4
[03/07/2013 | 19:19:10] (Deleted) Tele: Spawnls5
[03/07/2013 | 19:19:16] (Deleted) Tele: Spawnls6
[03/07/2013 | 19:19:19] (Deleted) Tele: Spawnls7
[03/07/2013 | 19:19:22] (Deleted) Tele: Spawnls8
[03/07/2013 | 19:19:26] (Deleted) Tele: Spawnls9
[03/07/2013 | 19:19:30] (Deleted) Tele: Spawnls10
[03/07/2013 | 19:19:36] (Deleted) Tele: PickupBank
[03/07/2013 | 19:19:42] (Deleted) Tele: PickupVGPD
[03/07/2013 | 19:19:48] (Deleted) Tele: PickupFBI
[03/07/2013 | 19:19:52] (Deleted) Tele: bankgetout
[03/07/2013 | 19:19:57] (Deleted) Tele: getoutvgpd
[03/07/2013 | 19:20:13] (Deleted) Tele: pickupvgpdgarasi
[03/07/2013 | 19:20:20] (Deleted) Tele: getoutvgpdgarasi
[03/07/2013 | 19:20:24] (Deleted) Tele: getoutfbi
[03/07/2013 | 19:20:36] (Deleted) Tele: pickupfbigarasi
[03/07/2013 | 19:20:43] (Deleted) Tele: getoutfbigarasi
[03/07/2013 | 19:21:08] (Created) Tele: vgpdout, Pos: X: 288.852569,Y: 166.923507,Z: 1007.171875,Ang:164.351013,Interior:3
[03/07/2013 | 19:21:23] (Created) Tele: vgpdspawn, Pos: X: 288.425048,Y: 167.910034,Z: 1007.171875,Ang:2.042772,Interior:3
[03/07/2013 | 19:22:41] (Created) Tele: fbioutpickup, Pos: X: 246.527481,Y: 107.300590,Z: 1003.218750,Ang:177.279388,Interior:10
[03/07/2013 | 19:22:54] (Created) Tele: fbispawn, Pos: X: 246.213760,Y: 108.633934,Z: 1003.218750,Ang:0.870656,Interior:10
[03/07/2013 | 19:24:14] (Created) Tele: getoutpickupfbigarasi, Pos: X: 227.256103,Y: 117.422431,Z: 999.028503,Ang:267.833557,Interior:10
[03/07/2013 | 19:24:41] (Created) Tele: getintfbigarasi, Pos: X: 225.919357,Y: 117.666297,Z: 999.060485,Ang:88.918540,Interior:10
[03/07/2013 | 19:28:57] (Created) Tele: getoutpickupgarasivgpd, Pos: X: 238.742080,Y: 138.629257,Z: 1003.023437,Ang:169.062438,Interior:3
[03/07/2013 | 19:29:10] (Created) Tele: vgpdspawngarasi, Pos: X: 238.160507,Y: 140.227859,Z: 1003.023437,Ang:5.741668,Interior:3
[04/07/2013 | 08:31:05] (Created) Tele: getintdspd, Pos: X: 288.906524,Y: 169.847152,Z: 1007.179443,Ang:7.660550,Interior:3
[09/12/2013 | 13:10:38] (Created) Tele: test, Pos: X: 1546.028686,Y: -1351.663330,Z: 329.472900,Ang:97.759811,Interior:0
